symbol,model,mae,rmse,r2,n_obs
NOC,rf,0.0007666769966999632,0.00122493351974225,0.03793596161142376,123
NOW,rf,0.001243378789746288,0.0017909740758114386,-0.01561814497588454,174
NRG,rf,0.0012142608645199482,0.0018105014505267253,0.021953078456728337,226
NSC,rf,0.0009602070551507021,0.0015222080163283117,0.015094660390177594,194
NTAP,rf,0.0009398663961331693,0.0013312401338281797,-0.020910014712364422,146
NTRS,rf,0.0008416748920424674,0.001434153444949033,0.05882176690897978,188
NUE,rf,0.0011831358422885443,0.0017197348285702392,-0.01024078820142127,146
NVDA,rf,0.0018750418562165309,0.0027699608996023493,-0.237006634197368,233
NVR,rf,0.001805774849164568,0.002588116411371244,-0.023667872715583682,46
NWS,rf,0.0009413542182947435,0.0015698653058712807,0.037874477097035286,138
NXPI,rf,0.0010288143516273731,0.0016006489808525382,0.009752577098247062,189
O,rf,0.000694283485182179,0.0010811865210861456,0.04632104420722194,227
ODFL,rf,0.007045812217773858,0.061904954097354165,-0.01204296238806113,125
OKE,rf,0.0007169491942182257,0.0010332302578998154,0.05608647313188264,208
OMC,rf,0.0008590121708705585,0.0017963951533840304,0.07910417383970203,203
ON,rf,0.0014241177711791571,0.0021652547088491,-0.01131778425454244,227
ORCL,rf,0.0006720754224308591,0.0009393536991602343,0.028191635492017975,233
ORLY,rf,0.0013269462045388742,0.001978741533544361,-0.04449235928600048,107
OXY,rf,0.0006571883401404009,0.0009762350577576322,0.09361204778377463,227
PANW,rf,0.0009913888935771818,0.0015463757261605963,-0.008129581545052389,221
PAYC,rf,0.0015248231807607233,0.0027749861409253527,0.019449879333303444,126
PAYX,rf,0.0007334563804019094,0.001270247097612549,0.019410354622017456,198
PCAR,rf,0.0007620329030700023,0.0011175523559280775,0.06144076388612141,184
PCG,rf,0.0008328054870226051,0.001328281732087941,0.030823930809019795,227
PEG,rf,0.0009199455094162092,0.001409892864662982,0.006364602969465949,226
PEP,rf,0.0005621723360713465,0.0009242941343491427,0.07619745772606012,230
PFE,rf,0.000730657909492747,0.0009702804870966518,0.026089158030168536,233
PFG,rf,0.0008010769373160545,0.0013519413878050493,0.03835168950984613,118
PG,rf,0.0005009377610093281,0.0008465849583904526,0.03672090873823275,229
PGR,rf,0.0006459046453716974,0.0009143851849092848,0.0590831170249394,223
PH,rf,0.0011424259348337001,0.0017763069469082043,-0.14528189446153994,110
PHM,rf,0.0012675881787671932,0.001779762107111456,0.05684943591497538,9
PKG,rf,0.001206453123583466,0.0017214522939471518,0.030036605125208893,112
PLD,rf,0.0010269934134808508,0.0021153788582812865,0.03761656306775274,223
PLTR,rf,0.002076202945144955,0.0034714065792980386,-0.044858487650633716,233
PM,rf,0.0007135832572936969,0.001042288903927568,0.035024104514694954,230
PNR,rf,0.0009173526078353491,0.0012909186251535045,0.0314812926787148,178
PNW,rf,0.0008450588894762882,0.001323197650523439,0.042897782572596355,192
PODD,rf,0.001823244917878191,0.0026488408534867127,0.020257248114149418,179
POOL,rf,0.0018560380421791748,0.003023222002121218,-0.06724874513940127,129
PPG,rf,0.0008051834940453254,0.001380376187105277,0.018230429389366032,116
PPL,rf,0.0008465369552900238,0.001254701947726862,0.006729750961496528,224
PRU,rf,0.0006605136051482976,0.0010316603714567187,0.07655323799578762,172
PSA,rf,0.0012443401809767757,0.002227142849078715,0.007697704325977939,144
PSX,rf,0.0009105403899781549,0.0013294154477317289,0.033371832815486724,233
PTC,rf,0.000983735687706525,0.001556246760142367,-0.0588051524421509,112
PWR,rf,0.001051097331722419,0.0015924116617084454,-0.02254985831308165,125
PYPL,rf,0.0011602719682325734,0.0017098072253295862,0.012542094240938662,232
QCOM,rf,0.0008241336616005361,0.00114834582724591,0.033572576613100535,233
RCL,rf,0.0014912086100702985,0.002059841573905742,-0.008267755829827195,214
REG,rf,0.000650640013190022,0.0011214924429369193,0.045658424584693935,194
REGN,rf,0.001393698411483736,0.0019161597229125358,-0.0029505253827288858,79
RF,rf,0.0008717133332437642,0.001484096009695195,0.024449018613272977,231
RJF,rf,0.0008026836735091613,0.001352239355898223,-0.006456690532113729,167
RL,rf,0.0008161877356072733,0.0012582201363985249,-0.00169953129279099,160
RMD,rf,0.000954610978917114,0.0013437809182257926,0.022929212282113864,151
ROK,rf,0.0011136624070714862,0.0015307200623865648,-0.04276638880536754,137
ROL,rf,0.000879214684263517,0.0013134518908420377,-0.05037228803390814,198
ROP,rf,0.0009789205596163419,0.001395667148271379,0.02388943441057756,75
