symbol,model,roc_auc,accuracy,precision,recall,f1,n_obs
ITW,logreg,0.5084892584892584,0.5131578947368421,0.5333333333333333,0.41025641025641024,0.463768115942029,152
IVZ,logreg,0.5103251656649714,0.5327510917030568,0.25,0.019417475728155338,0.036036036036036036,229
J,logreg,0.46650326797385616,0.4444444444444444,0.4222222222222222,0.3958333333333333,0.40860215053763443,99
JBHT,logreg,0.49367088607594933,0.49640287769784175,0.5714285714285714,0.45569620253164556,0.5070422535211268,139
JCI,logreg,0.5080128205128205,0.45217391304347826,0.5,0.023809523809523808,0.045454545454545456,230
JKHY,logreg,0.5270006506180871,0.45045045045045046,0.4,0.10344827586206896,0.1643835616438356,111
JNJ,logreg,0.4619470429681306,0.44,0.1111111111111111,0.008403361344537815,0.015625,225
JPM,logreg,0.5010052582740488,0.4692982456140351,0.5263157894736842,0.08196721311475409,0.14184397163120568,228
K,logreg,0.5130204272571339,0.5374449339207048,0.5333333333333333,0.07547169811320754,0.1322314049586777,227
KDP,logreg,0.4555929667040778,0.5683760683760684,0.375,0.030303030303030304,0.056074766355140186,234
KEY,logreg,0.523788284269997,0.49137931034482757,0.5,0.03389830508474576,0.06349206349206349,232
KEYS,logreg,0.4986295593506219,0.5025641025641026,0.5352112676056338,0.37254901960784315,0.4393063583815029,195
KHC,logreg,0.4753045404208195,0.5341880341880342,0.16666666666666666,0.009523809523809525,0.018018018018018018,234
KIM,logreg,0.5551453260015711,0.6157205240174672,0.8888888888888888,0.08421052631578947,0.15384615384615385,229
KKR,logreg,0.5875977835723598,0.5495495495495496,0.6428571428571429,0.08653846153846154,0.15254237288135594,222
KLAC,logreg,0.532983508245877,0.5480769230769231,0.5632183908045977,0.8448275862068966,0.6758620689655173,104
KMI,logreg,0.5381436745073108,0.6103896103896104,0.3333333333333333,0.022727272727272728,0.0425531914893617,231
KMX,logreg,0.5006129184347006,0.529126213592233,0.5909090909090909,0.12871287128712872,0.21138211382113822,206
KO,logreg,0.5389266817838246,0.575107296137339,0.3333333333333333,0.01020408163265306,0.019801980198019802,233
KR,logreg,0.5356772701905445,0.5133928571428571,0.6,0.05405405405405406,0.09917355371900827,224
KVUE,logreg,0.4610831606984315,0.5150214592274678,0.16666666666666666,0.009174311926605505,0.017391304347826087,233
L,logreg,0.5019305019305019,0.4722222222222222,0.36363636363636365,0.11428571428571428,0.17391304347826086,72
LDOS,logreg,0.5923005565862709,0.5590062111801242,0.5970149253731343,0.47619047619047616,0.5298013245033113,161
LH,logreg,0.5583333333333335,0.5225806451612903,0.5555555555555556,0.375,0.44776119402985076,155
LHX,logreg,0.5007621951219512,0.4943820224719101,0.4393939393939394,0.35365853658536583,0.3918918918918919,178
