symbol,rows,open,high,low,close,volume,vwap,trade_count,open_pct,high_pct,low_pct,close_pct,volume_pct,vwap_pct,trade_count_pct,bars_expected_total,coverage_pct,vwap_availability_pct
ARE,14638,0,0,0,0,0,14638,14638,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.7447089947089947,0.0
RL,14645,0,0,0,0,0,14645,14645,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.74506512006512,0.0
WAB,14673,0,0,0,0,0,14673,14673,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.7464896214896215,0.0
EFX,14740,0,0,0,0,0,14740,14740,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.7498982498982499,0.0
COST,14743,0,0,0,0,0,14743,14743,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.7500508750508751,0.0
NEM,14757,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19656,0.7507631257631258,1.0
GDDY,14781,0,0,0,0,0,14781,14781,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.751984126984127,0.0
AVGO,14833,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19656,0.7546296296296297,1.0
MS,14835,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19656,0.7547313797313797,1.0
EXR,14836,0,0,0,0,0,14836,14836,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.7547822547822548,0.0
AON,14838,0,0,0,0,0,14838,14838,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.7548840048840049,0.0
ITW,14841,0,0,0,0,0,14841,14841,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.75503663003663,0.0
DTE,14850,0,0,0,0,0,14850,14850,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.7554945054945055,0.0
HPQ,14894,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19656,0.7577330077330078,1.0
TRV,14935,0,0,0,0,0,14935,14935,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.7598188848188848,0.0
DAL,14938,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19656,0.75997150997151,1.0
RJF,14949,0,0,0,0,0,14949,14949,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.7605311355311355,0.0
SPG,14972,0,0,0,0,0,14972,14972,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.7617012617012617,0.0
KHC,14975,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19656,0.7618538868538869,1.0
ULTA,14988,0,0,0,0,0,14988,14988,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.7625152625152625,0.0
XYZ,14991,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19656,0.7626678876678876,1.0
WEC,15004,0,0,0,0,0,15004,15004,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.7633292633292633,0.0
DELL,15008,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19656,0.7635327635327636,1.0
JBHT,15012,0,0,0,0,0,15012,15012,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.7637362637362637,0.0
LKQ,15026,0,0,0,0,0,15026,15026,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.7644485144485145,0.0
BRO,15045,0,0,0,0,0,15045,15045,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.7654151404151404,0.0
AMGN,15073,0,0,0,0,0,15073,15073,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.7668396418396418,0.0
OTIS,15073,0,0,0,0,0,15073,15073,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.7668396418396418,0.0
LUV,15080,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19656,0.7671957671957672,1.0
AME,15090,0,0,0,0,0,15090,15090,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.7677045177045178,0.0
IRM,15099,0,0,0,0,0,15099,15099,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.7681623931623932,0.0
GPN,15101,0,0,0,0,0,15101,15101,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.7682641432641433,0.0
TRMB,15102,0,0,0,0,0,15102,15102,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.7683150183150184,0.0
WYNN,15110,0,0,0,0,0,15110,15110,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.7687220187220187,0.0
MNST,15118,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19656,0.7691290191290191,1.0
ISRG,15130,0,0,0,0,0,15130,15130,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.7697395197395197,0.0
CSGP,15134,0,0,0,0,0,15134,15134,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.76994301994302,0.0
